((820, 1644945101684008448, [0.571495200669486, 3.05879547741812, 0.09288229609865001], [0.5324534042475312, -3.7942174714464336, 2.675682531440169]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((822, 1644945101695021568, [0.576109985748808, 3.010587732854071, 0.11931104054749503], [0.4945986119705851, -4.014571440208298, 2.597208118842809]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((823, 1644945101700579840, [0.579148315992349, 2.9936149717112537, 0.130545313151186], [0.4784022608732491, -3.8900079495405335, 2.4964613457821248]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((825, 1644945101711709952, [0.581864337704652, 2.949239163093349, 0.15383935459287001], [0.4681738023269183, -3.8949275073508374, 2.3851602043958287]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((827, 1644945101722685184, [0.58780593437277, 2.9102292665060148, 0.173792413237069], [0.43891832893806015, -3.838813507334919, 2.2045691720484886]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((829, 1644945101734085888, [0.5923721889577189, 2.865053252227082, 0.19681828083268904], [0.4300709845801559, -3.8746272566943913, 2.1334792998295344]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((831, 1644945101745618688, [0.5979346059962141, 2.826165310524516, 0.21471569019748102], [0.44463434581927846, -3.8111451714740467, 1.9824635955455947]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((833, 1644945101756502272, [0.601045728869477, 2.7812198513978057, 0.233060537118009], [0.3890913510985231, -3.8189157342359223, 1.8416259226670841]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((835, 1644945101767121152, [0.606403042928588, 2.744596809302955, 0.249611463853915], [0.44171260995444167, -3.707845622302872, 1.7299378919236452]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((836, 1644945101772910336, [0.606487580950358, 2.7199423762308097, 0.2591127358179], [0.3779121267821021, -3.705159102426291, 1.661579736543682]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((838, 1644945101784408576, [0.612215776578886, 2.681705692301191, 0.272739928864824], [0.38152753642840487, -3.76353716972355, 1.5959706317766362]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
