((49880, 1644858926170671616, [0.5729676516977731, 3.078382938690493, 0.07817961894229702], [0.36014771245478083, -2.802307867295794, 1.9776512676644042]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49882, 1644858926181369088, [0.579225407751932, 3.035339791525689, 0.10436438755341604], [0.4472624556117755, -4.7279507432964785, 2.9071189364368917]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49884, 1644858926192887040, [0.585836177422699, 2.996514811910574, 0.12826413163342604], [0.4794968100172613, -3.2673601661196248, 2.3031063726751553]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49886, 1644858926203610880, [0.590826061562951, 2.947974740271071, 0.15290287471359099], [0.26132142188733376, -5.436318688978495, 2.8927002589542337]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49888, 1644858926215239936, [0.5973064427021331, 2.910226031589152, 0.17267302044467003], [0.4648393435834741, -3.4001230934088147, 1.7760986787056392]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49889, 1644858926220175360, [0.6000007430892911, 2.893146666960134, 0.180994680552426], [0.5459106223007407, -3.460566838637964, 1.6861084493968461]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49891, 1644858926231611136, [0.604546667538155, 2.847157371289946, 0.202997856385511], [0.5615547015723736, -3.6666204965644726, 1.878536592448097]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49893, 1644858926242536448, [0.609315810068912, 2.8079981365399167, 0.219848605304048], [0.39164720398266, -3.692150073545903, 1.5851085765996336]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49895, 1644858926253553920, [0.615465614166564, 2.765678774958772, 0.237308347568672], [0.6042576245962037, -3.665343271329155, 1.5209354526107044]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49897, 1644858926264610304, [0.6201211699185281, 2.725923549207051, 0.25345293345242603], [0.5891634580402018, -4.206215547587379, 1.723878196795102]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49898, 1644858926270285824, [0.621821264034746, 2.699986010349727, 0.261815010082627], [0.29954860809546346, -4.570072673045636, 1.4733586755400283]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49900, 1644858926281884160, [0.626220202302704, 2.662165702609065, 0.27495854446517], [0.1986727542068266, -3.8224632722858862, 1.2808071548476663]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49902, 1644858926292868352, [0.633278606911544, 2.624408063664916, 0.284142255001819], [0.6194505286365446, -2.62532816300218, 0.6231821525279527]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49904, 1644858926304364544, [0.636119619948497, 2.581993036635411, 0.297576152375977], [0.37758849932849087, -3.060221411723376, 1.0327429033632005]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49906, 1644858926315089920, [0.640340641565918, 2.541473150907505, 0.305052535865304], [0.12913633226403234, -3.0954148836763524, 0.3302383210155209]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49907, 1644858926320226816, [0.642229719412753, 2.5196990041306098, 0.31184746320745604], [0.36774695201830204, -4.2387750845832315, 1.322769108456164]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49909, 1644858926331543296, [0.6473112298433, 2.480108246365405, 0.319303939126814], [0.3671298070532407, -3.6962541873624417, 0.7305740733089023]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49911, 1644858926342846208, [0.649954978381504, 2.441921044648339, 0.32539969307319705], [0.09683843079599555, -3.2335541760655593, 0.5301831133227627]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49913, 1644858926353558272, [0.656266568671677, 2.4026894482280308, 0.331212480626417], [0.6009429577368666, -3.5198040652424396, 0.6410311631994263]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49915, 1644858926364662016, [0.659223632809845, 2.360414897815252, 0.333921386401548], [0.5537040025196269, -3.9974247413466037, 0.10509043428214244]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49916, 1644858926370473472, [0.661869385786279, 2.338939507368039, 0.337675399323733], [0.45526507925621224, -3.6953545629895355, 0.6459677096729328]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49918, 1644858926381974784, [0.664799576413872, 2.303150475403026, 0.339121871030067], [0.3767357389811072, -2.8156207105312254, -0.0064481609319178256]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49920, 1644858926392516608, [0.66739953670031, 2.25983214051651, 0.34158876268259203], [0.20427063149503805, -3.7656531052558275, 0.20591105935392706]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49922, 1644858926403527680, [0.672340707826202, 2.220509485973492, 0.34092131250636104], [0.21859327420894645, -4.171443324798258, 0.14647841611134182]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49924, 1644858926414655488, [0.675713426971877, 2.18328923681387, 0.339554471875673], [0.4664604062532963, -3.8068247229844006, -0.1585282602070344]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49925, 1644858926420548096, [0.67701859767204, 2.16186876473495, 0.33874297688341104], [0.22149287720530625, -3.635142890706449, -0.1377140634947994]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((49927, 1644858926431413760, [0.681309620371056, 2.12469912898453, 0.335991807876922], [0.34273224411110037, -3.0719092632071145, -0.3654857141396307]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
