((4433, 1644946706285480704, [0.5639191900099381, 3.099304161209984, 0.06595295109133503], [0.3824308942416722, -3.1478722925457636, 2.1389471107146787]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((4434, 1644946706291184896, [0.568256537594378, 3.079465573239788, 0.07998506884615003], [0.45846879030898435, -3.495661917617923, 2.3849436997988995]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((4436, 1644946706302084608, [0.5710310064508171, 3.03097628530854, 0.10677331978030002], [0.4124214787842665, -3.6363003101316, 2.296644203150867]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((4438, 1644946706313276416, [0.576441202359806, 2.996847953767166, 0.128833494075538], [0.42702940992631533, -3.855650948015236, 2.436366933244625]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((4440, 1644946706324377344, [0.580330556075088, 2.9496434148877557, 0.15321066977536602], [0.44286744572906056, -3.7687147819220725, 2.2854222655805105]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((4442, 1644946706335600128, [0.5866966985116919, 2.9071772750145737, 0.17385649547822002], [0.46373949941471954, -3.764111967305064, 2.1220324601491147]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((4444, 1644946706346598912, [0.5895463584003691, 2.865614835812713, 0.195066301308503], [0.3814529500594482, -3.868200271272144, 2.081145182325886]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((4445, 1644946706352290048, [0.592279610150144, 2.847469731248578, 0.204201327681437], [0.42528313166059545, -3.7841687726485076, 2.0040935605093013]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((4447, 1644946706363249664, [0.595756408004187, 2.803750903352589, 0.22282283453852703], [0.38711087097838953, -3.765949896125066, 1.9001622287150233]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((4449, 1644946706374949888, [0.6019653341971101, 2.762899488481223, 0.24014144794402], [0.432613479296377, -3.7171866822963247, 1.7703662174494856]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((4451, 1644946706385556736, [0.604759143274873, 2.721765844433027, 0.254817654208782], [0.3705924173139349, -3.751177236600752, 1.6566311536845486]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
