((40601, 1644857914942309120, [0.573292127730027, 3.0640206718888328, 0.08681043405955002], [0.560850084784921, -4.8525355281050055, 2.4956862204383268]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((40603, 1644857914953324800, [0.578951501598733, 3.0251206255751097, 0.110924110376599], [0.49110830436172703, -3.1362017321141176, 1.611258384847857]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((40605, 1644857914964561664, [0.585634337472023, 2.978764813572342, 0.13632493053448702], [0.6241289726369524, -4.3732578422867245, 2.2070480984098273]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((40607, 1644857914975442688, [0.5912816660872731, 2.945166587790625, 0.15571004309070702], [0.6846940722447987, -3.1318745925748757, 1.3286425063322094]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((40608, 1644857914981086464, [0.594111449030432, 2.920189355132885, 0.168556238434857], [0.5013988760643482, -4.425624379447375, 2.27617030586437]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((40610, 1644857914992051456, [0.597971105162511, 2.8763287076454027, 0.18920273977284002], [0.08834092120883033, -4.35693360526048, 1.9060746944290416]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((40612, 1644857915003375872, [0.603471940390149, 2.838919544655055, 0.206773345005364], [0.4370321110004474, -3.134126775825519, 1.081147038095527]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((40614, 1644857915014308864, [0.6090792612838231, 2.794438338583894, 0.224994921195131], [0.4438096743426584, -4.051301186509105, 1.4550106224312813]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((40615, 1644857915020705536, [0.611002055284817, 2.775165225615186, 0.23302761925093002], [0.300592870948195, -3.012990656501977, 1.2557620674936918]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((40617, 1644857915031261696, [0.617634440510561, 2.73351307584031, 0.24974971931977302], [0.5824959415938042, -4.11843903868036, 1.575684712830319]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((40619, 1644857915042088448, [0.62143706215908, 2.6967439106019047, 0.262133794966686], [0.5145886991095356, -3.315461397919, 1.0455119342898929]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((40621, 1644857915053182208, [0.627148843190019, 2.651694908911021, 0.277072623792376], [0.5506532748297329, -4.302240172650346, 1.3459565538369629]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((40623, 1644857915064358912, [0.631639395344885, 2.610800200428624, 0.287560634831164], [0.2979090744816783, -4.5531616188240545, 1.4836057620915941]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((40625, 1644857915075778560, [0.636701746267717, 2.5728572980825337, 0.298346382146272], [0.49370382897221265, -3.427397647719695, 0.7785795951368785]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((40626, 1644857915080992512, [0.639273983738265, 2.554579892396421, 0.300965780423183], [0.4933373898624349, -3.5054802357429797, 0.5023825069565253]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((40628, 1644857915092335872, [0.643439279584208, 2.508875037034089, 0.311488683888734], [0.4763586951449574, -3.6870084699598715, 0.6712210270802859]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
