((48071, 1644858813589347584, [0.571329678556721, 3.086018269137258, 0.07531095028268603], [0.3888300333679342, -3.9335711176863253, 2.5807368751239284]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48073, 1644858813600787200, [0.576014575687458, 3.043397408182052, 0.10300363490877401], [0.09611825445239741, -3.9253871867298606, 2.391795579526187]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48074, 1644858813605946880, [0.5796947562678649, 3.0262879800780698, 0.11411617845348304], [0.7132575238012778, -3.3159862828667825, 2.1537272746970797]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48076, 1644858813617283072, [0.585898031032758, 2.984913454582825, 0.13792985080876902], [0.4254539515656037, -3.4155345151110614, 1.9575873800145778]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48078, 1644858813628255232, [0.590941715956248, 2.939377835552876, 0.16295762698058902], [0.6403220663312007, -4.319442570892462, 2.54659346868922]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48080, 1644858813639419392, [0.59693946697528, 2.9008006404335798, 0.183254108267563], [0.5484730183648989, -3.7164852866358764, 2.1853595119160794]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48082, 1644858813650475008, [0.600664684632902, 2.8562690326205398, 0.204022376496265], [0.48561887187188185, -2.891705927832022, 1.4485971886319946]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48082, 1644858813650475008, [0.600664684632902, 2.8562690326205398, 0.204022376496265], [0.48561887187188185, -2.891705927832022, 1.4485971886319946]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48085, 1644858813667067136, [0.608309974420831, 2.7929051863395618, 0.23383474947402502], [0.39333832714497097, -3.811944968180999, 1.9431274861540881]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48087, 1644858813678224896, [0.612698375810104, 2.7557237322481978, 0.24931983498551402], [0.3336471510475182, -3.5943748572608145, 1.5399131562759754]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48089, 1644858813689298432, [0.617019272063516, 2.711141965093889, 0.265778820689727], [0.45413191345186227, -4.014788486852693, 1.4521291913014815]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48091, 1644858813700496128, [0.620557260212756, 2.669148478379055, 0.280184486881515], [0.2885092092964881, -4.534364285624614, 1.6210251575564196]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48093, 1644858813711478272, [0.625539934884467, 2.6304374609575607, 0.292193119627408], [0.31454612777569796, -3.551349299292103, 0.9722751017440242]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48095, 1644858813722698752, [0.630616978424752, 2.588947845593895, 0.30332504756537004], [0.34466883930892683, -4.724035502199657, 1.4305730388898887]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48096, 1644858813728322560, [0.631709877605025, 2.570005022521905, 0.310752650827742], [0.19433436921619643, -3.3683267764458056, 1.3207426822487471]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48098, 1644858813739254272, [0.635998683423759, 2.5343530090756, 0.316579496519579], [0.37638317442566815, -2.9981446825137024, 0.22986458108142732]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48100, 1644858813750590464, [0.640597457506162, 2.48771848035137, 0.328666132215112], [0.40122295354100074, -3.2326036338247017, 0.724061774846401]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48101, 1644858813756760320, [0.6426665887162301, 2.4703389503019437, 0.33043343707451], [0.33536134555944586, -2.8168453282258388, 0.28644183258053707]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48104, 1644858813772772864, [0.648589365902457, 2.4086952442032667, 0.341232765620896], [0.40014792422952594, -2.7722205260630415, 0.28923388035277237]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48105, 1644858813778625536, [0.64950365678128, 2.3910430593319347, 0.34349130646608], [0.1562176863530023, -3.0160898938693337, 0.38589909791356997]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48107, 1644858813789407488, [0.654448729598718, 2.3483477361081366, 0.348229269261368], [0.580991124197729, -3.242020979639943, 0.21279980383277605]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48109, 1644858813800348672, [0.6572095920395941, 2.311142859307571, 0.351138481607437], [0.6094065056928265, -2.786076892991355, 0.05287591757378174]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48111, 1644858813812293632, [0.659276184938456, 2.266640833383867, 0.3530222446529861], [0.15092842486515343, -4.453649952110197, 0.4783328514539311]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48112, 1644858813817019392, [0.662485017866307, 2.250774536440163, 0.35403539288717323], [0.6790088637279533, -3.3574064158366537, 0.21438842306573613]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48114, 1644858813828229888, [0.664530204171341, 2.2086359671297817, 0.3547582286729663], [0.20443295463523223, -4.110079460585697, 0.22888152662287467]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48116, 1644858813839510784, [0.667397073431538, 2.1699633190704297, 0.352765602398289], [-0.08683851167493924, -4.334150838704781, 0.15853184001830745]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((48118, 1644858813850389504, [0.670190334895486, 2.12919419537467, 0.35090539735576903], [0.06063699321648174, -4.009422469259168, 0.10584188009267528]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
