((280051, 1644831500780258560, [0.6661200814658033, 3.0766550278899114, 0.18630355383540104], [1.4017087255488652, -3.6977880029018575, 1.7532649067458355]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280052, 1644831500785781504, [0.6757701234847299, 3.059898116808971, 0.196275773449197], [1.7472641437115075, -3.034054135066454, 1.8055985383512783]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280054, 1644831500796947968, [0.6951039739342526, 3.0205907913118226, 0.213123838042544], [1.8566037500475936, -4.297203967501626, 1.7680669859151381]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280056, 1644831500808115456, [0.7139875869953989, 2.9867278066922567, 0.22979593849902502], [1.6899713303311887, -3.2119572854490066, 1.504093424900187]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280057, 1644831500814095360, [0.7221283736007484, 2.965957156746845, 0.23802531689456102], [1.3613574073011137, -3.473408594086442, 1.3761723257657652]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280059, 1644831500824777984, [0.7425762889533686, 2.932180192329379, 0.251072386050305], [1.9092561630673335, -3.4661598220189385, 1.4947623117191806]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280061, 1644831500836349952, [0.7607722273367176, 2.8941128028206067, 0.264215758318742], [1.7967781272939767, -3.213128566715039, 1.0427873690744935]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280063, 1644831500847588608, [0.7763254845966305, 2.8633447972040384, 0.27447696051457704], [1.3830429807797064, -2.9616932314468247, 0.9940469575717794]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280065, 1644831500858254080, [0.7956621310934313, 2.821478359537937, 0.286964723652304], [1.7106603428545601, -3.9359480726824123, 1.3397661607073321]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280066, 1644831500863608576, [0.8047693856892852, 2.8073276962506966, 0.291516952069251], [1.700861219404017, -2.642762883236923, 0.850169356172265]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280068, 1644831500874695424, [0.8217925466949844, 2.7716082200827357, 0.299671323229614], [1.2003415924821865, -3.015545615442438, 0.7705886117326737]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280070, 1644831500885728000, [0.8382869606264712, 2.7387008762382012, 0.304623961164155], [1.4943908136523927, -3.323361549438211, 0.26567231625684273]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280071, 1644831500891311616, [0.8484234776290077, 2.7212701693391925, 0.31044081054835204], [1.8154036743458866, -3.121759608649434, 1.0417710287020132]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280074, 1644831500908225792, [0.8763758619662124, 2.667475232694723, 0.316798720379854], [1.4571599933432093, -2.364503234416877, 0.14922191102732943]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280076, 1644831500919466496, [0.8931723505300592, 2.6313620227471195, 0.32029052496979504], [1.4409146729229994, -2.890559347333419, 0.1120089262383342]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280077, 1644831500925101824, [0.9028771241324037, 2.6119113882702156, 0.32149586959020104], [1.7221310990850156, -3.451553215164028, 0.21389076561399822]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280079, 1644831500936128768, [0.9209447715046138, 2.575809199068228, 0.324373220319776], [2.033203408507553, -4.017612165963435, 0.40147459330681723]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280081, 1644831500947269888, [0.9370389832699745, 2.542426438409546, 0.322583731362781], [1.4201638361718356, -2.77861105802687, -0.08961386149080125]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280083, 1644831500957949952, [0.9529274956052319, 2.5080397992450973, 0.320924111448198], [1.405356519348327, -2.4787092601482112, -0.3597112145106784]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280084, 1644831500963602432, [0.9615632382012658, 2.4903293189144295, 0.320129677495137], [1.5277794164745093, -3.1332229978111905, -0.14054608827647372]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280087, 1644831500980320256, [0.9877130874681618, 2.434945612201104, 0.316751189055414], [1.6962492618329368, -3.2696385246052877, -0.3532091324503396]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280088, 1644831500985837824, [0.9950808347571959, 2.4199330016777005, 0.315558032885886], [1.335325144888855, -2.720874581591638, -0.21624675391911358]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280090, 1644831500997279488, [1.012052926303432, 2.3859276374380753, 0.310775198450129], [1.2629404123064492, -2.68108469868712, -0.365285708013668]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280092, 1644831501008071168, [1.0280231463852245, 2.3522443822037316, 0.302777605852422], [1.6220071334399702, -3.1168909766705366, -0.7460616288139642]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280094, 1644831501019988992, [1.0447238290953509, 2.31597371262744, 0.29580141248260805], [1.4821938820653628, -2.7274484906334244, -0.7807058838843893]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
