((45246, 1644858562704041472, [0.568164406775524, 3.092025242642623, 0.069798051838806], [0.5044975147609756, -3.755626601900037, 2.2883243440044483]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((45248, 1644858562714360832, [0.573615320438443, 3.054560280285029, 0.094084487310989], [0.6633406544840811, -3.084197823142798, 2.005255946268412]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((45250, 1644858562726099968, [0.57797190399642, 3.006932161247342, 0.12272122778668099], [0.15730779206117879, -4.559693106258015, 2.6596348979105118]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((45252, 1644858562736775936, [0.585011887651246, 2.966726820471591, 0.14352938763572703], [0.8046009808003053, -3.6718567497131, 1.9493276867748899]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((45254, 1644858562748116992, [0.590712361388532, 2.927379815400829, 0.16535704045677302], [0.5312716323677955, -2.9809069883560353, 1.5703122651143782]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((45255, 1644858562753365760, [0.590060023937413, 2.904707713136769, 0.17679850095464], [-0.12428391788683246, -4.319509314197144, 2.179837344280979]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((45257, 1644858562764338944, [0.596623121690142, 2.86571239599181, 0.197309313406913], [0.6612728743620571, -3.8303901335914254, 2.0499627348271736]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((45259, 1644858562775475712, [0.600782937738005, 2.821543879301293, 0.215831210609178], [0.08527203590401634, -4.230092014036397, 1.7799380936228293]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((45261, 1644858562787066624, [0.606836919732665, 2.784672189287074, 0.23280753794366002], [0.5618755641250458, -2.7758314731877274, 1.3117417434336096]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((45263, 1644858562797607168, [0.609730342644943, 2.735959251010344, 0.251655730964133], [0.11414163089185794, -5.312566635180322, 2.1387925817477607]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((45264, 1644858562803238400, [0.613072645004665, 2.721017576741983, 0.25765582444495605], [0.5935295082358519, -2.6533579629397286, 1.0655028030851919]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((45266, 1644858562814317056, [0.617159552544331, 2.674218222349219, 0.273944161462211], [0.3161483310777545, -5.582361992124019, 2.0111478648961403]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((45268, 1644858562825705728, [0.621275580832607, 2.639170040675367, 0.284713192812889], [0.39865094081251273, -3.3741361220187063, 0.9912677176660851]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((45270, 1644858562836522496, [0.62455844430973, 2.601718613666102, 0.297606329292467], [0.2380544854439977, -3.618783765914191, 1.2064609947257716]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((45272, 1644858562848363520, [0.629409757784143, 2.559317205005446, 0.307748406524588], [0.2651211560837045, -3.052922043339207, 0.6612004810639217]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((45273, 1644858562853220352, [0.630512877052029, 2.5378548638518037, 0.31385001416011005], [0.22712732659601503, -4.419000112345314, 1.256293739524454]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((45275, 1644858562864377344, [0.6355146613142401, 2.497829209680611, 0.32163601848525203], [0.6163253570616573, -3.4143029469270174, 0.29927419753751033]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((45277, 1644858562875438592, [0.638024704170287, 2.45700137640772, 0.328764298359775], [0.3510487232127871, -4.140252007282096, 0.3925207137729345]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((45279, 1644858562886797824, [0.64202084504388, 2.419015743378478, 0.335383962099089], [0.30608111994258, -3.480926548267511, 0.4351666320951528]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((45281, 1644858562898333952, [0.645313402250965, 2.380610019938685, 0.340401672313996], [0.2068218197498085, -3.1527713270476196, 0.2331865006076341]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((45283, 1644858562908759808, [0.649637774350414, 2.336348391657525, 0.34472156909310203], [0.41586655963321123, -3.9264215139374294, 0.4281135258878007]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
