((280658, 1644831520637366272, [0.6840602586395441, 3.071705861017344, 0.19508306628135702], [2.111667620699072, -3.6773609973258092, 2.1401515417551846]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280660, 1644831520648368896, [0.7048508208513544, 3.032648686872396, 0.213901667267025], [2.0197381009812556, -3.766258103777375, 1.7380138673792667]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280662, 1644831520659674112, [0.7233554976344398, 3.002078358156314, 0.22895305298790902], [1.7261684851907837, -3.221255206955199, 1.6149672672575732]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280664, 1644831520671227648, [0.744532779100806, 2.9619035600132375, 0.24556568045078903], [1.724710724987019, -2.724810856059499, 1.075181064689581]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280666, 1644831520681836032, [0.7619899626450891, 2.930102182561833, 0.258682705616353], [1.5809403917439295, -2.7857514723339767, 1.0224750098345186]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280667, 1644831520687982080, [0.7740817505008558, 2.906081583178904, 0.26680311754332], [1.9674086267739366, -3.908299997482736, 1.3212412149997848]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280669, 1644831520698428160, [0.7933593000746635, 2.8735427922996974, 0.278017650973645], [1.72835911804207, -2.988643636808292, 0.9543023261368524]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280671, 1644831520709914368, [0.8116310296655164, 2.8392942415234708, 0.289825749603621], [1.8548245950047613, -3.1312503519504307, 0.9940097730934045]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280672, 1644831520715094016, [0.8223905285502907, 2.8218410547793087, 0.29322611066167104], [2.07726449457074, -3.3695700449455397, 0.6564849692585341]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280674, 1644831520726327552, [0.839365268956604, 2.7880205199048973, 0.30381886869947405], [1.4725184651454715, -3.035205411942089, 0.8989005508268635]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280676, 1644831520737816320, [0.8598324260420511, 2.751164199638718, 0.311568720384896], [1.6721233858064586, -2.648035442167491, 0.7079341624923999]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280678, 1644831520748908544, [0.8766238583931317, 2.7173468141989376, 0.31780056371785703], [1.2638754985356817, -2.03835472207711, 0.3109727182766939]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280680, 1644831520759656704, [0.8965447704494894, 2.679304539996267, 0.323409439462798], [1.7256988614557025, -3.482940373174495, 0.4600226262750856]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280682, 1644831520770604032, [0.9147236640201426, 2.646598369308406, 0.325893847788691], [1.4765763344417857, -2.627391771795715, -0.26368288166842596]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280684, 1644831520781867264, [0.9330910299499507, 2.6111457099256867, 0.331677955120679], [1.7410666576293778, -2.9523246491621666, 0.6691382124924365]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280685, 1644831520787483648, [0.9428802426748729, 2.593073535545918, 0.33141945587617], [1.7429742561979682, -3.2177597507166413, -0.04602592068295041]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280687, 1644831520798717696, [0.9609086473580688, 2.558085191759634, 0.331917206759883], [1.652877689864685, -2.828819800406761, -0.038568808264295554]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280689, 1644831520809611264, [0.9789622163614072, 2.5220220361095196, 0.332639859736363], [1.8520563266151202, -3.412996810025594, 0.2544301094348245]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280691, 1644831520821229824, [0.9966084733067334, 2.4863707854591954, 0.33146516910246704], [1.3284602786105888, -3.4418855291343045, -0.00690655432903082]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280692, 1644831520826219264, [1.0061694273919795, 2.4729857092691336, 0.329077465675833], [1.9162379115183352, -2.682681060411949, -0.478551385853728]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280694, 1644831520837454592, [1.0234088426479517, 2.4347850843688983, 0.327550494153429], [1.470012113733621, -3.286420510903623, -0.36960782813453713]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280696, 1644831520849032960, [1.0412440597144017, 2.3998806554790537, 0.32145291454942904], [1.504477619366241, -3.8138784284450877, -0.3066160531104397]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((280698, 1644831520859699968, [1.0598243471684128, 2.3656720539653255, 0.31670734328070005], [1.8234289687979242, -3.671799188316702, -0.45660841892487036]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
