((272088, 1644830982990504704, [0.6720627356003493, 3.093841687592294, 0.184560860029636], [2.1204536628648984, -3.3593685042305745, 1.7487926839312145]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((272090, 1644830983001325312, [0.6908547697269557, 3.0578112148472423, 0.20612529762988102], [1.6997488253697075, -3.7072205412900847, 1.947706310217017]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((272092, 1644830983012911104, [0.7115190171365825, 3.022553542704485, 0.224605128733844], [1.3656971103542161, -2.3002493119550333, 1.3424087666379623]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((272094, 1644830983023834112, [0.7296221381947879, 2.983212423084722, 0.24283830277413201], [1.4075512358169575, -3.5477129591076784, 1.5959629556333785]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((272095, 1644830983029025536, [0.7406442228851838, 2.967525141804774, 0.250224512153843], [2.123133207843531, -3.021768455042009, 1.422771359016522]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((272097, 1644830983040105728, [0.760249993619082, 2.934936691623861, 0.26428686962054704], [1.5801888198188478, -2.6057622310027977, 1.257937085906986]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((272099, 1644830983051361792, [0.7798083830707719, 2.8980484036868166, 0.277705067334474], [1.913138736668201, -2.812907441774375, 1.112031791568456]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((272101, 1644830983062578176, [0.799856241248052, 2.862763229274816, 0.29154055375409704], [1.746807337874004, -3.752733315295995, 1.4335336939879264]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((272103, 1644830983073578752, [0.8205635928042002, 2.8236907097306347, 0.303181347795273], [2.3202585608946937, -3.8930739624175787, 1.0222396643842917]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((272104, 1644830983078985472, [0.8295155131447612, 2.807406772806471, 0.307748406524588], [1.6557025961324103, -3.011795862216581, 0.844700433777782]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((272106, 1644830983090097152, [0.8473869611555597, 2.770358406678344, 0.31924033663744], [1.7726978783618823, -3.4651578887949626, 1.1240324921181402]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((272108, 1644830983101211648, [0.8665320906325634, 2.733372119525333, 0.327238134464289], [1.7503826114397925, -3.871570366019852, 1.267453470505417]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((272110, 1644830983112480256, [0.884499709069376, 2.7019463480896415, 0.331844011517728], [1.6336598581208353, -2.860627042717279, 0.5803686785964988]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((272112, 1644830983123745792, [0.9042767176446013, 2.6642113173714246, 0.33838440704920403], [2.066284448923502, -3.5587618968651524, 0.5455893364603509]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((272113, 1644830983129052416, [0.9125922191853274, 2.6483865073832806, 0.340401672313996], [1.5670040953958926, -2.982086160267611, 0.3801409831923189]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((272115, 1644830983140155648, [0.9321832574701874, 2.6110649084566537, 0.345908996071135], [1.8096066043154282, -2.905358462673573, 0.42526459619280715]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((272117, 1644830983151650304, [0.9498102920277677, 2.5765525332231523, 0.34636924273251], [1.823277723635453, -3.1581241450267075, -0.015508299239436224]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((272119, 1644830983162575104, [0.9670328529609912, 2.541245191895219, 0.350417536968672], [1.7174741338812873, -4.072487407811432, 0.5361348237494599]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
