((15106, 1644947806026803968, [0.570268891106368, 3.073283862909254, 0.08353247739005504], [0.5296010380678338, -3.787062948138316, 2.6557948030499623]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15108, 1644947806037695744, [0.57467246375378, 3.029641199684849, 0.11173646766509704], [0.4880620894227025, -3.79437356075523, 2.610262291173266]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15109, 1644947806042742528, [0.5776885417282001, 3.008516112567675, 0.12369441094133299], [0.5058914206051363, -3.918632415447655, 2.5917973984740335]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15112, 1644947806059680512, [0.585977442716223, 2.949391032272155, 0.15860008679761], [0.5018904437737197, -3.6810507562376094, 2.32973121776167]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15113, 1644947806064924672, [0.590003254741793, 2.926811605935238, 0.16977035181323802], [0.5383644241329762, -3.8256655565851707, 2.3104195301251176]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15115, 1644947806076989184, [0.594944376518592, 2.886051012903892, 0.19098952383745904], [0.5051153106432598, -3.608175463791338, 2.0837310963427282]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15117, 1644947806087938560, [0.6017006230519031, 2.845743768735352, 0.210412291075241], [0.5332049386880847, -3.775881461029799, 2.0337342438507338]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15119, 1644947806098497024, [0.60507054293008, 2.801874321528412, 0.23064267435568903], [0.49305113541797035, -3.7531718610608067, 1.9398566416116219]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15121, 1644947806109373440, [0.611395380233355, 2.7614625862163837, 0.246311113486388], [0.5077504415356839, -3.810998779968982, 1.8222685401593623]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15122, 1644947806114992896, [0.613206821360899, 2.743117058911451, 0.25459765561111203], [0.4930115104376232, -3.7758935833068628, 1.7569993492939857]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15124, 1644947806126010880, [0.618383925866087, 2.70089288133821, 0.270738063312882], [0.48265040066303505, -3.7408042368206544, 1.6417419193573308]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15126, 1644947806137208320, [0.62251434609694, 2.660709044622772, 0.285107087568796], [0.44125989392882287, -3.696839916258137, 1.5216872776022123]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15128, 1644947806148752128, [0.62857230495697, 2.619027526931557, 0.298041549958102], [0.439639682352969, -3.6673111296505625, 1.3714028734452495]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15129, 1644947806153844224, [0.630413988235074, 2.601678480289555, 0.300862485544549], [0.45511505681385733, -3.6197024526620587, 1.2658308423227815]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15131, 1644947806165018880, [0.636742974887043, 2.561741216838305, 0.31349766533757], [0.4537327732337063, -3.5915879988981274, 1.2042633941652232]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15133, 1644947806176357888, [0.639529207058269, 2.523314286506123, 0.320855283477035], [0.4113743570079409, -3.602598408583522, 1.0555186540381218]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15135, 1644947806187243776, [0.644409896985871, 2.477206512855957, 0.332055649900229], [0.4207566542533033, -3.6864512201844044, 0.9802150988171849]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15137, 1644947806198205184, [0.6488720383168131, 2.441166091450366, 0.33772598026414], [0.3975709140393954, -3.610451094226067, 0.8229823570194723]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15138, 1644947806203908352, [0.652049263168103, 2.41786242024257, 0.342100095174224], [0.42554477567384685, -3.6469364092602654, 0.7981507645142252]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15140, 1644947806215129088, [0.655125941149022, 2.3820403399382997, 0.345409326357952], [0.3937124454557509, -3.584952217696535, 0.6955781915572848]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15142, 1644947806226243328, [0.659356641774776, 2.338851320972692, 0.34942718850711], [0.3908792725250427, -3.6265434367126956, 0.5446247702058671]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15144, 1644947806237091072, [0.66449588798519, 2.3013954974600948, 0.353723223323997], [0.39076183685948596, -3.5854804882129514, 0.4744818771236553]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15146, 1644947806248388864, [0.66848470202234, 2.262345345501756, 0.35371742974997233], [0.40892865963881186, -3.55554531042201, 0.352490478700685]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15147, 1644947806254492672, [0.670231988064345, 2.244353422575586, 0.3538096909208247], [0.38079122965968326, -3.499400306450304, 0.28908914400467667]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15149, 1644947806264918784, [0.674172669856082, 2.2061309183773776, 0.3533691177047556], [0.39535334346823403, -3.4681926197683053, 0.16645574973522287]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15151, 1644947806276230144, [0.676549424851088, 2.16432550447585, 0.3532949718840594], [0.3503863601407461, -3.5421521127794646, 0.0782113542400736]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15153, 1644947806287275520, [0.682101727572709, 2.12777891186659, 0.350021641404253], [0.3907764864902316, -3.471511383155705, -0.02814675516832088]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15155, 1644947806298685696, [0.684982508134884, 2.08713464022354, 0.34591608704687005], [0.3741341980858373, -3.4531337579530366, -0.15745506736402812]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15156, 1644947806303830016, [0.686705930797326, 2.0677067875408, 0.343173570782794], [0.3346606078577182, -3.5157713540265148, -0.19636061439449168]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15158, 1644947806315048192, [0.69079046482404, 2.02885789875269, 0.33770745392899904], [0.36792562156628655, -3.47927059536429, -0.32976282310933874]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15160, 1644947806326044672, [0.694376387783073, 1.9897187326060999, 0.33024288836577503], [0.3347640556725869, -3.5088106490972364, -0.4289295662461905]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15162, 1644947806337260544, [0.697385926014554, 1.95001008779967, 0.322219446268874], [0.31411690317776675, -3.5221886847436634, -0.5311227033944117]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15164, 1644947806349099520, [0.70182951514661, 1.9122959380398399, 0.31287468989214], [0.3295941371004867, -3.454327899444974, -0.6354562104873474]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15165, 1644947806353847040, [0.702635548319821, 1.89308918441731, 0.30841820173955203], [0.31661526413169716, -3.541472128498495, -0.6879168687611135]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15167, 1644947806365427200, [0.706076768164615, 1.8522220382855699, 0.298026836299468], [0.31903779473216526, -3.4974591086595104, -0.7838220334659118]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15169, 1644947806376194048, [0.710082160703371, 1.81707600338331, 0.284429913611769], [0.32815275978532565, -3.4504315679373256, -0.9239338065411395]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15171, 1644947806387164928, [0.71191333480278, 1.78060477195946, 0.270350501649967], [0.28396127933072524, -3.4571501782805556, -1.0442306545744702]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15172, 1644947806393095424, [0.714044191027157, 1.76129308854251, 0.263264492667071], [0.2933558442749526, -3.4108744658859145, -1.0676763716083681]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15174, 1644947806403775232, [0.717431683848578, 1.72141892704619, 0.24895547038749002], [0.28320937732650153, -3.5103007005287266, -1.1731108099823573]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15176, 1644947806415571456, [0.719621681946903, 1.68176677525765, 0.233157437309845], [0.26428720789916393, -3.458144968445084, -1.2309386431091918]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15178, 1644947806426214400, [0.723630420678714, 1.6469014272754, 0.215620853603601], [0.2918912616247776, -3.389991355449724, -1.3780816205313626]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15180, 1644947806437186816, [0.727489288915289, 1.60904012996431, 0.19564919781254803], [0.3054817987758855, -3.4702526507200453, -1.5049572669631492]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15182, 1644947806448811008, [0.730096324803407, 1.57319826001262, 0.175634008226981], [0.2923620597127007, -3.386491520478539, -1.573680030479483]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((15183, 1644947806453760000, [0.730483884901132, 1.55374547383595, 0.16636088607660504], [0.26238103608862434, -3.419608818546756, -1.6202435639541324]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
