((43233, 1644858388962252032, [0.569118949394031, 3.0773397505648408, 0.07961747262555302], [0.2897872051900741, -4.571810404192725, 2.6530223040023144]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43235, 1644858388973754624, [0.5751683863426751, 3.0408151653937647, 0.10271981791412599], [0.48595344560983206, -3.465203016635564, 2.106687554930903]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43237, 1644858388984491520, [0.5808732649418971, 2.993239218594857, 0.12851989399660202], [0.34243328378396604, -4.223501796387512, 2.1131982116817714]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43238, 1644858388989809920, [0.583417577987156, 2.973829601956886, 0.139493300872451], [0.478398210976784, -3.6495217806052414, 2.063291004032974]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43240, 1644858389000966912, [0.589595892321519, 2.93660880281081, 0.162198413331325], [0.7890139812212937, -4.543704734559022, 2.588333627651586]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43242, 1644858389012011776, [0.5942376862110821, 2.893428687243448, 0.18288857830816202], [0.8215183073806023, -3.931461300217391, 2.11628073738961]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43244, 1644858389023285248, [0.59935926650822, 2.85331484854254, 0.20240240802557702], [0.5810209644707818, -3.4418502891195772, 1.828245610474329]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43246, 1644858389034228992, [0.602698651744618, 2.8090221344884947, 0.220843610022311], [0.38952962302531785, -4.482582658652552, 1.878970318370625]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43248, 1644858389045503744, [0.609625477225766, 2.773370072837912, 0.235262693091455], [0.7013839577940371, -3.179381680150659, 1.169229872960758]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43249, 1644858389051134976, [0.611167063832819, 2.753563722725266, 0.24447377473571902], [0.27375654333777366, -3.517232128359473, 1.635713400595822]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43251, 1644858389062124032, [0.615824328894558, 2.708749095312363, 0.26038796660518904], [0.6684485262862049, -4.23315027855568, 1.6806341528839628]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43253, 1644858389073412352, [0.619814950908766, 2.672803854822919, 0.272488530202052], [0.21808174046816592, -3.0664792444995346, 0.9280063814962894]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43255, 1644858389084348160, [0.624452638470313, 2.628826239638547, 0.28856978710817005], [0.5073602254025397, -3.8887133417440296, 1.322486092536669]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43257, 1644858389095501568, [0.627251032244008, 2.592054312055424, 0.295516348408119], [0.2762192347653392, -3.317275229850316, 0.2621563603253037]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43258, 1644858389100922368, [0.629834611988769, 2.571184454276124, 0.301772663737094], [0.47660488207662666, -3.8499590059216056, 1.1541313697194087]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43260, 1644858389112166656, [0.633987353348984, 2.529395507205284, 0.313834120470627], [0.2768770909959403, -3.6194246427405075, 0.7917386210972764]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43262, 1644858389123112704, [0.638199252943429, 2.4897991071662497, 0.321402003559375], [0.587804707452238, -4.16075172890962, 1.150773957496665]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43264, 1644858389134423552, [0.641304955874106, 2.450281685536704, 0.328618757440326], [0.08202236499606512, -3.5791168043256936, 0.9131029905947058]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43266, 1644858389145531648, [0.645718548680048, 2.413966923660597, 0.332395995248357], [0.4608370492765462, -3.9734670843677713, 0.5143216656606232]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43267, 1644858389151019776, [0.646967242227036, 2.387872899490267, 0.336611620028451], [0.2275263162572172, -4.754631118357707, 0.7681352876780604]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43269, 1644858389162145536, [0.651471127250409, 2.354035050010324, 0.337607899712299], [0.2772227124660033, -3.14790301320322, 0.22604807910106944]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43271, 1644858389173194752, [0.654260822725331, 2.3125088929314117, 0.341453064530419], [0.3597303355320334, -3.6651868569924217, 0.2938204719715054]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43273, 1644858389184518144, [0.658406519103221, 2.2732282740754597, 0.34099703592935404], [0.5480684319459487, -3.1030984461928983, -0.22559597575390455]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43275, 1644858389195470080, [0.661371769597789, 2.237491946978383, 0.340033671940996], [0.198711037739304, -3.7758164573276383, -0.0708807472948808]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43276, 1644858389200989440, [0.663320787978333, 2.217249443886114, 0.341256583951265], [0.35312398186457583, -3.66754534806015, 0.22156771985683635]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43278, 1644858389212557568, [0.666255689072709, 2.17647177341577, 0.34021923383537], [0.24802641903940545, -4.494528651409236, 0.18533235149272428]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43280, 1644858389223279104, [0.669801772622803, 2.1388730284283497, 0.337001137347379], [0.1916374914520569, -4.158974802807526, -0.059653955595091145]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43282, 1644858389235045888, [0.673904449385689, 2.09829237321713, 0.332674345547389], [0.42782151511321725, -3.082689221065651, -0.5357720477216028]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43283, 1644858389239872256, [0.674536534507662, 2.08020975150388, 0.329159911072109], [0.13096496619673256, -3.7466313619785985, -0.7281737478948959]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43285, 1644858389251172096, [0.6773838806342231, 2.0415899032473996, 0.324348596752076], [0.11268941152113193, -3.8263169844452287, -0.3216132197753418]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43287, 1644858389262413056, [0.680004711673021, 2.00429571851981, 0.315948308692779], [0.18675427240422152, -3.3029361537239197, -0.5601410221307069]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43289, 1644858389273432064, [0.683645725011342, 1.96281364823899, 0.308075822308546], [0.4058489044196668, -3.674696056593394, -0.8174331185820323]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43291, 1644858389284414464, [0.686230919162377, 1.9271850052305899, 0.29751976520948], [0.2702246560721846, -3.4763018951287115, -0.906471562698741]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43292, 1644858389290086656, [0.687128583752987, 1.9070367656738898, 0.292776330359159], [0.15825708837254196, -3.5521081720611867, -0.8362613342991512]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43294, 1644858389301877760, [0.690428708751962, 1.87157234286029, 0.279909552399406], [0.38764581395364245, -2.8653238300711523, -1.3918348249778263]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43296, 1644858389312168448, [0.693603697304238, 1.83112385519283, 0.269521900866786], [0.3067105431721542, -3.8968584540638225, -1.0359240174859377]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43298, 1644858389323153408, [0.695749429472397, 1.79286809816267, 0.25531283298920404], [0.2716924225186471, -3.7788965670529233, -1.1942436873692677]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43300, 1644858389334405376, [0.698075345584167, 1.7580861883350698, 0.23903562033834103], [0.16577662397193682, -3.154352007574492, -1.447931570340112]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43301, 1644858389340106496, [0.698815725542951, 1.7399797327821098, 0.230825267497479], [0.12986570336777079, -3.175947103895371, -1.440129806224395]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43303, 1644858389351027456, [0.701094394695341, 1.70111302186107, 0.215218429177497], [0.08538941510650681, -3.7148364574404846, -1.5015725703913352]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43305, 1644858389362090240, [0.703997301662749, 1.6623820507557998, 0.197806681947577], [0.15575713891114237, -3.961628924552063, -1.3293260938631963]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43307, 1644858389373324288, [0.706362359849777, 1.62533545011049, 0.179376797145189], [0.143920400556661, -3.2098593125978843, -1.610375268768338]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43309, 1644858389384503296, [0.709267316600696, 1.58816997529296, 0.159362135527986], [0.21341942629930272, -2.980090120461721, -1.673320593358799]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
((43311, 1644858389396086016, [0.710730885074694, 1.5512140785097799, 0.13800014423226103], [-0.1489838241390343, -3.09771444052247, -1.8733205060687879]), (52944000000, [0.14420914564248685, -0.9277134762266334, -0.046451937503063756, -0.006902728991013782], [0.6153703486297568, 1.1851998989052563, 0.2098969598279081, 0.11426084317680432]))
