((216, 1644944820034309376, [0.566465312927374, 3.063668844087042, 0.08634764498165703], [0.4620294576776409, -3.9309441314567755, 2.69683449967228]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((218, 1644944820045471488, [0.571914233378159, 3.0269580647032317, 0.11078089209240999], [0.4485425883293656, -3.843344320337588, 2.519302233807958]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((220, 1644944820056726784, [0.5746048316316701, 2.9788485282310777, 0.13667602369772802], [0.44238927644315523, -3.8361353041662363, 2.4341854895228607]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((221, 1644944820062496000, [0.578084158050461, 2.959326899457328, 0.146550054728733], [0.4559750035623896, -3.80191889969464, 2.2857102097872612]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((223, 1644944820073431552, [0.583542917061729, 2.921561802936935, 0.16853473599304802], [0.4382812937426901, -3.7939450079657333, 2.2380994085043975]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((225, 1644944820084277504, [0.586838127352466, 2.876396001028191, 0.18954055223898503], [0.4072335343639096, -3.7416710280339602, 2.0605068934538595]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((227, 1644944820095639296, [0.590941364729652, 2.8339006254088157, 0.20938993766802802], [0.41663842768604686, -3.8332639916111395, 1.985380275768024]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((228, 1644944820101731840, [0.593538151107929, 2.816541223943119, 0.216403645157063], [0.38625101103445475, -3.7440389505153133, 1.88237126033517]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((230, 1644944820112284416, [0.597455478745925, 2.772678016029489, 0.234033321376483], [0.41155433062168817, -3.7226304247439415, 1.7590135744614543]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((232, 1644944820123453440, [0.601625549886723, 2.7356465775096277, 0.24912681165452802], [0.3717626012262792, -3.7196608039288974, 1.6707880525438266]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((234, 1644944820135126016, [0.6039865836628731, 2.69266680823971, 0.26446046401926504], [0.36945431832306413, -3.6580939043896796, 1.5427595664903855]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((236, 1644944820145424128, [0.60872313591776, 2.650163155850634, 0.278443586585546], [0.3362135913695962, -3.8050021863145362, 1.4694785075138088]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((237, 1644944820150949120, [0.609587863294295, 2.6320291874917308, 0.283300051052638], [0.3397471738127592, -3.6824580664005837, 1.3443700055899719]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((239, 1644944820162964736, [0.614692695459346, 2.593037551447547, 0.293070395959552], [0.34593129321041693, -3.6500126251581633, 1.2191008265764478]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((241, 1644944820173280000, [0.617280631471427, 2.5506182960141777, 0.30714171879239105], [0.35553460709456497, -3.6819917150063226, 1.16801725121586]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((243, 1644944820184391936, [0.620314914466355, 2.507737753619189, 0.315221317721017], [0.32309262625908, -3.7245242879115237, 1.0599073581762046]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((245, 1644944820195545344, [0.625286012083746, 2.4704546046756, 0.322241777186523], [0.3534793076273424, -3.680376053172897, 0.9227137766389862]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((247, 1644944820206730752, [0.626834630005427, 2.4339997942669, 0.326792602720276], [0.30879884414583914, -3.568670600140674, 0.7869010046600922]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((249, 1644944820217738240, [0.630306136793414, 2.3930812196180566, 0.331959142427011], [0.28513237097936656, -3.658861442961593, 0.7197529093821262]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((250, 1644944820223989504, [0.632336403155664, 2.37066096280457, 0.335620996978664], [0.3024089166118083, -3.5471213631196195, 0.6249544951195118]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((252, 1644944820234923008, [0.6351049896807041, 2.3334248966818, 0.33826624543821704], [0.2747469807638052, -3.594994759532036, 0.5581921471733847]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((254, 1644944820245633024, [0.63830050924532, 2.2950118415050498, 0.339978427047142], [0.27427411707508603, -3.559960623474416, 0.3722838196902266]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((256, 1644944820256772864, [0.640763300990973, 2.252861395190561, 0.34028338749807], [0.2802434681083621, -3.588333845890054, 0.26537075403459626]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((257, 1644944820262806784, [0.6431767616151, 2.23558577721591, 0.339912706685409], [0.28433514656188436, -3.5713503870107823, 0.2411533889907674]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((259, 1644944820273145856, [0.645716754498514, 2.193699454922312, 0.34018821127341003], [0.26844347429497545, -3.639584700418638, 0.15033658440794534]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((261, 1644944820284405504, [0.648161240424864, 2.15579538093166, 0.337357879741274], [0.2895914833007985, -3.5225360725900883, -0.004273574345503825]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((263, 1644944820296320512, [0.649758917370142, 2.11536343739769, 0.334220596887589], [0.23878454951660366, -3.5059229774124043, -0.10400089495442333]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((265, 1644944820306601216, [0.652894389264964, 2.0784007034359, 0.32854973830706], [0.23820625354336764, -3.5546164880410687, -0.2153598362718255]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((267, 1644944820318354944, [0.655476576137389, 2.0383392247594, 0.323409860421187], [0.22676229207757626, -3.5696175010937248, -0.30309560178338335]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((268, 1644944820323229696, [0.657354370682233, 2.01736717359733, 0.320211994565772], [0.25496269365429686, -3.5548844326869955, -0.37135058915610375]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((270, 1644944820334348800, [0.6598992229282, 1.9799006377138, 0.31260430785681403], [0.26493091891407305, -3.5354763722026887, -0.4904957018011581]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((272, 1644944820345915136, [0.661891669777651, 1.9400270958036998, 0.30472425938747305], [0.2546344402081201, -3.5332808047160924, -0.5938298086140709]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((273, 1644944820350937856, [0.663198715657404, 1.9205990501914398, 0.299249590883071], [0.25488664970954306, -3.6056551080914225, -0.656557379691752]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((275, 1644944820362908416, [0.666496192434, 1.88366552318162, 0.28804420992733604], [0.24860395247831885, -3.4943655416514474, -0.730965456701081]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((277, 1644944820373437696, [0.668184762311375, 1.84558922649142, 0.277363785567787], [0.23536039740916676, -3.5388648537511065, -0.8452931777437612]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((279, 1644944820384428288, [0.670018623331689, 1.8072159106713699, 0.265054890875611], [0.21012385425334984, -3.5354961505769893, -0.9450660574750727]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((281, 1644944820395981568, [0.672665761032459, 1.7687152265982098, 0.249651712685087], [0.19572402493457766, -3.4513865207494403, -1.040132852683396]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((283, 1644944820406744576, [0.674595846291914, 1.72935354949939, 0.234384146115123], [0.20146322033123903, -3.436053675829027, -1.1707503436694728]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((284, 1644944820412830464, [0.67606156671813, 1.71245482276651, 0.22550728774865902], [0.20598002056759776, -3.3936466024441643, -1.238318881267554]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
