((5043, 1644946836023299840, [0.5685609853297771, 3.09089916161744, 0.07189798900750599], [0.51736409734834, -3.8636256752557623, 2.771550355470958]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((5045, 1644946836034408704, [0.573238593052696, 3.051033434143348, 0.09762819587469801], [0.5005818394811277, -3.8087422031508567, 2.618564592355787]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((5046, 1644946836040425728, [0.5772331121586121, 3.0310557567987737, 0.110151815479205], [0.5434377132007946, -3.7843480443967175, 2.5885715508808462]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((5048, 1644946836051267328, [0.583861160778703, 2.990714934770396, 0.133955668894214], [0.503984659107604, -3.7916256839092157, 2.4506806157917658]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((5050, 1644946836062171648, [0.5888825378360649, 2.948802426831302, 0.156926380808242], [0.5296580960811126, -3.837091575363137, 2.35025915165035]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((5052, 1644946836073134848, [0.5931915556668941, 2.90504751245977, 0.17908260192781], [0.5251108908320945, -3.8041533596286192, 2.195284867837702]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((5054, 1644946836084290304, [0.5973030760822859, 2.867104227290274, 0.1963860174875], [0.49773376647954093, -3.7665465013988273, 2.0515705186142137]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((5055, 1644946836089902592, [0.600634831584104, 2.837904395632597, 0.209188734278512], [0.5026039123520561, -3.878526110336164, 2.0210278064171376]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((5057, 1644946836101082624, [0.603791068776501, 2.8010784556940287, 0.226463506467802], [0.42932605107150473, -3.794335335369002, 1.8629432232708527]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((5059, 1644946836112404224, [0.611372096091427, 2.759537061868946, 0.242097568945453], [0.48639070176011323, -3.813712811179669, 1.7434876443132912]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((5061, 1644946836123392000, [0.613529721383302, 2.719069290288804, 0.25659489932331103], [0.399561077783324, -3.8252510053523268, 1.624418834779186]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
