((1223, 1644945121747242240, [0.569896537208351, 3.071850737406054, 0.08284273371935202], [0.5154581817937387, -3.794510755724057, 2.613392804950029]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((1225, 1644945121758280448, [0.5741277858706171, 3.031832724399819, 0.10908708059547201], [0.4811705382726645, -3.7713094544849044, 2.562009001455706]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((1226, 1644945121763497984, [0.57836297428479, 3.012723170371097, 0.12081567971652302], [0.5154456783202448, -3.808397303761077, 2.501159272820592]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((1228, 1644945121774300416, [0.5826143639332511, 2.9731437880277527, 0.14429911601504603], [0.48515612747616466, -3.733537473331688, 2.3522349964842606]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((1230, 1644945121785295360, [0.590591505387354, 2.931950886598849, 0.165620871294339], [0.5401290998515414, -3.68665840648056, 2.219121284734631]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((1232, 1644945121796518144, [0.5951313388409321, 2.889139911696967, 0.18664939702532302], [0.49657779348327286, -3.732480870753806, 2.1288508299102555]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((1234, 1644945121808355584, [0.6014073050733499, 2.848509539032052, 0.207984592350883], [0.5326043185407809, -3.646757818290203, 2.01243253763168]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((1235, 1644945121813114880, [0.604563455773342, 2.827815382145436, 0.21619925690775502], [0.5563546274454778, -3.7425233482091897, 1.9595298354858137]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((1237, 1644945121824430848, [0.608434421798445, 2.783879090483624, 0.23476769125409502], [0.5194273200387234, -3.659322483886085, 1.8124186855780047]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((1239, 1644945121835390720, [0.615069617675865, 2.748759900134752, 0.24960334277911603], [0.5130019709005715, -3.7190862440068138, 1.733511295656181]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
((1241, 1644945121846588416, [0.61744171165779, 2.702794306838421, 0.265776235297171], [0.45788940339288936, -3.7431146640441297, 1.5886843253617688]), (22000000, [-3.795860840240716e-08, 7.192639502984506e-05, -0.0001313280205745663, -1.033395926058128e-09], [-2.3603204682399935e-06, 0.009542778388431719, -0.016825998644482316, -1.6222348703534865e-07]))
