((271288, 1644830957682759168, [0.6723987043674308, 3.0806169646942703, 0.196353390349357], [1.8533758726177012, -2.784320547224217, 1.7531007606070728]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271290, 1644830957693741312, [0.6923659877484455, 3.040547165338917, 0.217419019229897], [1.7387881349463008, -3.41454142942128, 1.6960979721158687]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271291, 1644830957699419648, [0.7003627433165569, 3.0253930935830295, 0.22428857933123603], [1.4082920714997162, -2.668752211191332, 1.2097840109037254]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271293, 1644830957710353664, [0.7201113004155709, 2.9896806681912538, 0.241883977162052], [1.4325936538685473, -3.026823979283606, 1.2962935122735124]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271295, 1644830957721457152, [0.74117918081694, 2.9514405847062086, 0.259445906194996], [1.6853602719267389, -3.1960158299203227, 1.3944816848621]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271297, 1644830957732692992, [0.7617093449366599, 2.915044939695208, 0.274851320520611], [1.8982489851442617, -3.970090468940728, 1.3789579900607962]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271298, 1644830957738442240, [0.7721688752474442, 2.895199720770687, 0.28288640851024704], [1.8192866807596892, -3.4517938562610007, 1.3975893872791774]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271300, 1644830957749404416, [0.7900579017957645, 2.8612179068527404, 0.295295838649241], [1.6688387960590456, -2.7040499365620527, 1.0551362713829757]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271302, 1644830957760418304, [0.8085089262568904, 2.8252669269772213, 0.30525232571500405], [1.9459156154198807, -3.2849507155300155, 1.1137874246726411]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271304, 1644830957771638016, [0.8280559520460229, 2.7857926708302996, 0.319675976263652], [1.5725347672954968, -3.439417642892318, 1.1055459167960549]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271306, 1644830957782828288, [0.845163026389769, 2.752255883804852, 0.32565902520772805], [1.6671843682686731, -3.5390498208543324, 1.0023750252057093]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271308, 1644830957794023680, [0.8659422188418938, 2.7151079049821663, 0.334562343688534], [1.9233230685622944, -3.203753661360228, 0.40730733677773706]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271309, 1644830957799837440, [0.8733538497635406, 2.697804107375362, 0.33932768955222004], [1.2748429452964622, -2.9763522413729198, 0.8196667670640073]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271311, 1644830957810660096, [0.8924057186084141, 2.6646236284645384, 0.343587309719392], [1.9759511981450524, -3.3958474538857786, 0.7426790375486575]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271313, 1644830957821942528, [0.9111311462711578, 2.627828595880489, 0.34834257051607], [1.7017639430342706, -2.8862639847645672, 0.2861882199253617]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271315, 1644830957832740864, [0.9278451025560888, 2.5946436414931267, 0.351957372484483], [1.5391981808319535, -2.452353157625696, 0.28618457110061385]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271317, 1644830957844572416, [0.9460231038061319, 2.5546375006961206, 0.35498961775227383], [1.4248872322092083, -2.869623860622376, 0.20646379177448104]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271318, 1644830957849478144, [0.9553912241157753, 2.539811675120607, 0.3554784274008677], [1.909628970387963, -3.0221458620440873, 0.09964059332149677]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271320, 1644830957861154816, [0.9735768396452349, 2.5016038597290207, 0.3574809056774295], [1.5724273351874323, -3.187497337895717, 0.17981428695950616]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271322, 1644830957871489792, [0.989334749679529, 2.4674864492483737, 0.3555421492850123], [1.5412391464714785, -3.3276197816436293, -0.23350275906295054]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271324, 1644830957882646784, [1.0067476355147034, 2.4331825887084193, 0.3532709968402541], [1.3621070087300415, -2.983782631659381, -0.3677621044741031]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271326, 1644830957893700096, [1.025149028308777, 2.398527907966505, 0.350291877191555], [1.8836551936815142, -3.811115959390615, -0.10581149047967467]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271327, 1644830957899661312, [1.0330973932266936, 2.3789576271735955, 0.34915652692751403], [1.3333462363914705, -3.2829343531436668, -0.1904561525770901]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271329, 1644830957910345984, [1.0518202450739502, 2.346010384405532, 0.343584871311706], [2.220792975361139, -4.098805709216263, -0.4968440833903487]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271331, 1644830957921989632, [1.0687900131010828, 2.3111118160683675, 0.33893930066230304], [1.4802411638384265, -2.91704592084143, -0.2114126461785053]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271333, 1644830957933158144, [1.086319493299029, 2.275237018148105, 0.330928908833975], [1.5035675798582147, -2.741450964561697, -0.651917037282135]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271334, 1644830957938401536, [1.0942301053435564, 2.2562278143771595, 0.327903336417677], [1.508682174540329, -3.6253638428989294, -0.5770257909952237]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271336, 1644830957949271552, [1.1110477975587592, 2.222771541552516, 0.31895986347722405], [1.607135632256001, -3.301840666866803, -0.8776544225594611]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271338, 1644830957960985344, [1.1275795258045505, 2.1858495805628912, 0.307649464704771], [1.315171329551009, -3.004809861602906, -0.996227984101257]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271340, 1644830957971613696, [1.1430297800386713, 2.153854811067417, 0.29701387145208], [1.2517708194333927, -2.8023447373769286, -0.9940427501051909]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271342, 1644830957982561280, [1.1621254266972976, 2.1188663273546693, 0.285249932122975], [2.2207113967279075, -3.776297773044934, -1.2832538198169308]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((271344, 1644830957993807616, [1.177970321711066, 2.085075826318835, 0.270137518568924], [1.4840494984334542, -3.006414984533522, -1.3265546483855024]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
