((273303, 1644831024154479360, [0.6758917623542731, 3.07854059284516, 0.190870568990896], [1.887156338370233, -3.906183366600525, 2.0918506121482903]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((273304, 1644831024160099072, [0.686860556909471, 3.0583395990627773, 0.20168469617658502], [1.951842826678297, -3.594667090125366, 1.92432053202887]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((273306, 1644831024171078400, [0.7053860393277821, 3.023672027556972, 0.21874245881280302], [1.4619995955905138, -3.6383048081375917, 1.6681473546627525]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((273308, 1644831024182181888, [0.7272410371565968, 2.983530361344738, 0.236876366997072], [2.3296112546517223, -4.291547803749254, 1.9942724154707836]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((273309, 1644831024188382720, [0.736264019687486, 2.9685225876995065, 0.24312125770086201], [1.4551244947273492, -2.4202838659766375, 1.0071052890628227]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((273312, 1644831024204867584, [0.7659348781605304, 2.9146759410415064, 0.266084015034978], [1.9316097409089166, -3.460472798332519, 1.5545738818766728]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((273313, 1644831024210395136, [0.7752736419682249, 2.897443247587935, 0.272273240832272], [1.6894936144778907, -3.1175995184796754, 1.1197046716691172]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((273315, 1644831024221161472, [0.7936217453757929, 2.8625386740097363, 0.282679151927605], [1.7239707646799376, -2.826798441333266, 0.6073595000638319]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((273317, 1644831024232194048, [0.8139519217936697, 2.823972347744055, 0.296525804767157], [1.7432610313750883, -3.7433636574882754, 1.2764029956228082]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((273318, 1644831024237952000, [0.8220367068707696, 2.8086680784730733, 0.299955317440465], [1.4041077586440223, -2.657936236874065, 0.5956132793930877]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
((273320, 1644831024249156864, [0.8415097430180601, 2.7704530668906653, 0.310707332000979], [1.9038096753452394, -4.102662017606446, 1.416798262623481]), (37065999999, [0.17721463513250846, -0.0503231040514899, -1.493425159360509, -7.575150738905854e-05], [-4.923160375188896, -0.01969291600476918, -0.008649085817421614, 0.00043485877011544807]))
